,Patient ID,Age,Sex,Cholesterol,Blood Pressure,Heart Rate,Diabetes,Family History,Smoking,Obesity,Alcohol Consumption,Exercise Hours Per Week,Diet,Previous Heart Problems,Medication Use,Stress Level,Sedentary Hours Per Day,Income,BMI,Triglycerides,Physical Activity Days Per Week,Sleep Hours Per Day,Country,Continent,Hemisphere,Heart Attack Risk
count,8763,8763.0,8763,8763.0,8763,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763.0,8763,8763,8763,8763.0
unique,8763,,2,,3915,,,,,,,,3,,,,,,,,,,20,6,2,
top,ZWN9666,,Male,,101/93,,,,,,,,Healthy,,,,,,,,,,Germany,Asia,Northern Hemisphere,
freq,1,,6111,,8,,,,,,,,2960,,,,,,,,,,477,2543,5660,
mean,,53.70797672030127,,259.8772110007988,,75.02168207234965,0.6522880292137396,0.4929818555289284,0.8968389820837612,0.5014264521282665,0.5980828483396097,10.01428365521483,,0.4958347597854616,0.49834531553121075,5.469702156795618,5.993690145051085,158263.18190117538,28.891445877259635,417.67705123816046,3.48967248659135,7.0235079310738335,,,,0.3582106584503024
std,,21.24950880221598,,80.86327610477055,,20.550947931909413,0.47627118494942794,0.4999792718957312,0.3041864253995663,0.5000264965985919,0.49031335817956767,5.783745486854243,,0.5000111809674499,0.5000257933400908,2.859621886586074,3.4663591739806257,80575.19080559704,6.319181335543781,223.7481367993549,2.2826873241360377,1.9884727543508285,,,,0.47950184613131047
min,,18.0,,120.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0024423483189783,,0.0,0.0,1.0,0.0012632057782457,20062.0,18.002336577801902,30.0,0.0,4.0,,,,0.0
25%,,35.0,,192.0,,57.0,0.0,0.0,1.0,0.0,0.0,4.981578612387105,,0.0,0.0,3.0,2.998793697970296,88310.0,23.422985172976116,225.5,2.0,5.0,,,,0.0
50%,,54.0,,259.0,,75.0,1.0,0.0,1.0,1.0,1.0,10.069559015591569,,0.0,0.0,5.0,5.933622031172581,157866.0,28.768999353101115,417.0,3.0,7.0,,,,0.0
75%,,72.0,,330.0,,93.0,1.0,1.0,1.0,1.0,1.0,15.050017847693944,,1.0,1.0,8.0,9.019124487794615,227749.0,34.32459386532672,612.0,5.0,9.0,,,,1.0
max,,90.0,,400.0,,110.0,1.0,1.0,1.0,1.0,1.0,19.998709051535457,,1.0,1.0,10.0,11.999313410370352,299954.0,39.99721081557256,800.0,7.0,10.0,,,,1.0
